0.05	0.04645922521458265	0.053423566696185074
0.05708	0.053423566696185074	0.06098999941238162
0.06517	0.06098999941238162	0.06962807349566079
0.0744	0.06962807349566079	0.07948956657528569
0.08493	0.07948956657528569	0.09074775269662667
0.09696	0.09074775269662667	0.10360044687988684
0.11069	0.10360044687988684	0.11827348088269776
0.12637	0.11827348088269776	0.13502467123841766
0.14427	0.13502467123841766	0.15414834929162785
0.1647	0.15414834929162785	0.17598053282704798
0.18803	0.17598053282704798	0.20090483016138075
0.21466	0.20090483016138075	0.22935918043753967
0.24506	0.22935918043753967	0.26184354855342884
0.27977	0.26184354855342884	0.2989287099311161
0.3194	0.2989287099311161	0.34126627948157345
0.36463	0.34126627948157345	0.3896001609816352
0.41628	0.3896001609816352	0.4447796180375677
0.47523	0.4447796180375677	0.5077741963021668
0.54254	0.5077741963021668	0.5796907591402576
0.61938	0.5796907591402576	0.6617929360723882
0.70711	0.6617929360723882	0.7555233257208852
0.80726	0.7555233257208852	0.862528843381172
0.92159	0.862528843381172	0.9846896585947417
1.05211	0.9846896585947417	1.1241522311792806
1.20112	1.1241522311792806	1.2833670261844905
1.37124	1.2833670261844905	1.4651315704544943
1.56545	1.4651315704544943	1.6726396073338619
1.78717	1.6726396073338619	1.9095372132033859
2.04029	1.9095372132033859	2.179986861856452
2.32925	2.179986861856452	2.4887405623765493
2.65915	2.4887405623765493	2.84122335560488
3.03577	2.84122335560488	3.2436286362954645
3.46572	3.2436286362954645	3.70302697584157
3.95658	3.70302697584157	4.227490357672774
4.51695	4.227490357672774	4.826234008234482
5.15669	4.826234008234482	5.509778315629696
5.88704	5.509778315629696	6.290133680958531
6.72083	6.290133680958531	7.181011550336226
7.6727	7.181011550336226	8.198065335585078
8.7594	8.198065335585078	9.35916545676282
10.	9.35916545676282	10.003540774785417
